AC No.,Total
1,230113
2,210923
3,228512
4,223980
5,210090
6,188935
7,203796
8,232280
9,199326
10,188250
11,182682
12,206000
13,185841
14,205771
15,201719
16,182384
17,205415
18,225329
19,212881
20,176832
21,215940
22,233690
23,213254
24,205970
25,228689
26,211105
27,173205
28,155972
29,218558
30,241980
31,201668
32,191954
33,229370
34,199556
35,236576
36,247184
37,227762
38,229525
39,230838
40,238080
41,211630
42,221036
43,222792
44,214101
45,255441
46,243014
47,208776
48,216529
49,203700
50,210790
51,199620
52,209627
53,182603
54,206436
55,195429
56,176224
57,164930
58,172015
59,181690
60,165657
61,203956
62,196839
63,218704
64,222278
65,201786
66,188395
67,161225
68,203427
69,182716
70,194592
71,192377
72,179208
73,187212
74,180299
75,170404
76,194360
77,197712
78,191646
79,161285
80,165675
81,187923
82,136223
83,176387
84,188291
85,195421
86,186254
87,171968
88,142265
89,150303
90,188495
91,167822
92,156542
93,176585
94,175905
95,155957
96,158256
97,149573
98,170254
99,162885
100,177500
101,184665
102,191465
103,206016
104,191880
105,171203
106,153981
107,184457
108,201394
109,192435
110,189866
111,198395
112,176015
113,215168
114,189366
115,201200
116,214513
117,178798
118,205694
119,193272
120,179783
121,197346
122,201716
123,206464
124,164541
125,168865
126,177000
127,183280
128,197945
129,195296
130,198042
131,187828
132,164561
133,165272
134,158545
135,171178
136,181308
137,195648
138,177094
139,201200
140,167377
